	A549_CTL_rnaseq	A549_PIC_rnaseq
SCARNA22	37	10
SCARNA17	4	24
SCARNA16	9	99
SCARNA15	32	389
SCARNA13	18	675
SCARNA12	51	213
SCARNA10	5	20
SCARF2	17	1
SCARF1	8	140
SCARB2	7235	789
SCARB1	4160	206
SCARA5	178	98
SCARA3	3165	56
SCAPER	636	122
SCAP	1124	114
SCAND2P	2652	2724
SCAND1	393	1336
SCAMP5	912	59
SCAMP4	1117	279
SCAMP3	2252	998
SCAMP2	2100	348
SCAMP1-AS1	323	8264
SCAMP1	3722	361
SCAI	805	207
SCAF8	3443	800
SCAF4	2240	1010
SCAF11	10494	1583
SCAF1	3294	2191
SCAANT1	5	36
SC5D	2377	1008
SBSPON	37	84
SBSN	35	102
SBNO2	1492	591
SBNO1-AS1	61	442
SBNO1	6807	1204
SBK3	31	365
SBK2	42	53
SBK1	24	0
SBF2-AS1	1049	203
SBF2	3101	257
SBF1	1232	514
SBDSP1	2644	2249
SBDS	6377	4072
SAYSD1	417	153
SAXO2	22	282
SAV1	2054	1750
SATL1	251	124
SATB2-AS1	93	901
SATB2	476	337
SATB1	6	42
SAT2	960	1373
SAT1	5905	200629
SASS6	1803	332
SASH1	845	63
SART3	4632	1213
SART1	2854	1954
SARS2	1274	626
SARS1	3270	365
SARNP	2685	386
SARM1	2436	433
SARAF	7396	1056
SAR1B	4303	1857
SAR1A	6625	12750
SAPCD2	958	95
SAPCD1-AS1	57	96
SAPCD1	138	150
SAP30L-AS1	1820	293
SAP30L	1304	283
SAP30BP	3778	1770
SAP30-DT	28	145
SAP30	492	89
SAP25	0	259
SAP18P3	4	23
SAP18P2	17	6
SAP18	4564	3359
SAP130	1269	155
SANBR	2090	134
SAMSN1-AS1	0	15
SAMSN1	4	50
SAMMSON	3	14
SAMM50	2596	113
SAMHD1	1457	3560
SAMD9L	279	1399
SAMD9	1131	16706
SAMD8	3066	709
SAMD5	845	46
SAMD4B	4350	852
SAMD4A-AS1	2	540
SAMD4A	1287	1963
SAMD15	264	349
SAMD14	161	83
SAMD13	50	16
SAMD12	50	19
SAMD11	864	336
SAMD10	4	16
SAMD1	1222	62
SALRNA1	6	90
SALL4	176	82
SALL2	97	32
SALL1	31	316
SAGSIN1	1016	974
SAGE1	2	10
SAFB2	2682	2333
SAFB	4768	2219
SAE1	10993	1529
SACS-AS1	3	21
SACS	6321	2338
SACM1L	2884	630
SAC3D1	374	87
SAAL1	2315	265
SAA1	8	10
S1PR5	62	0
S1PR3	5113	4780
S1PR2	52	15
S1PR1	0	26
S100PBP	2031	237
S100P	215	46
S100A6	11662	3819
S100A5	36	70
S100A4	17988	1036
S100A3	925	232
S100A2	120	246
S100A16	5064	161
S100A14	6	148
S100A13	807	726
S100A11	7627	1219
S100A10	17115	6461
S100A1	67	479
RYR3	391	177
RYR2	20	37
RYR1	116	21
RYK	2244	480
RYBP	2695	2492
RXYLT1-AS1	1263	277
RXYLT1	2648	1189
RXRB	670	1014
RXRA	1924	71
RWDD4P2	273	5
RWDD4P1	103	8
RWDD4	1517	220
RWDD3-DT	5	74
RWDD3	1092	421
RWDD2B	996	364
RWDD2A	261	66
RWDD1	2078	324
RUVBL2	4597	1203
RUVBL1	6106	478
RUSF1-DT	10	86
RUSF1	1602	620
RUSC2	2162	585
RUSC1-AS1	2309	523
RUSC1	1270	507
RUNX3	265	51
RUNX2	132	145
RUNX1	1070	1620
RUNDC3A-AS1	34	37
RUNDC3A	12	38
RUNDC1	1992	918
RUFY4	0	75
RUFY3	993	586
RUFY2	3323	2592
RUFY1-AS1	203	561
RUFY1	2376	632
RUBCN	716	307
RTTN	1484	120
RTRAF	5657	1109
RTP4	0	212
RTN4RL2	572	49
RTN4RL1	29	0
RTN4R	34	5
RTN4IP1	673	48
RTN4	28502	4890
RTN3P1	122	9
RTN3	10609	882
RTN2	89	52
RTL9	1	450
RTL8C	1296	795
RTL8B	323	10
RTL8A	905	223
RTL6	2134	1930
RTL5	234	6552
RTL10	816	430
RTL1	0	16
RTKN2	894	54
RTKN	468	26
RTF2	4089	565
RTF1	3350	429
RTEL1-TNFRSF6B	609	438
RTEL1	584	380
RTCB	4532	469
RTCA-AS1	111	701
RTCA	1792	258
RSU1	4250	62
RSRP1	1306	17325
RSRC2	5294	13756
RSRC1	2250	222
RSPRY1	3530	2096
RSPO3	13266	705
RSPH9	444	74
RSPH6A	0	11
RSPH4A	25	48
RSPH3	534	140
RSPH14	55	6
RSPH10B2	89	47
RSPH10B	496	130
RSPH1-DT	0	44
RSPH1	23	45
RSL24D1	8643	1037
RSL1D1-DT	4	80
RSL1D1	18353	5579
RSKR	624	410
RSF1	3196	1001
RSC1A1	1037	142
RSBN1L	2165	524
RSBN1	926	431
RSAD2	4	9403
RSAD1	2000	711
RRS1-DT	4	40
RRS1	3828	1360
RRP9	904	328
RRP8	1496	683
RRP7BP	392	144
RRP7A	3244	442
RRP36	2325	123
RRP1B	6064	435
RRP15	4276	585
RRP12	3448	834
RRP1	1554	242
RRN3P4	4	98
RRN3P3	229	110
RRN3P2	8	13
RRN3P1	437	1283
RRN3	6547	2888
RRM2B	5872	2259
RRM2	27941	1029
RRM1-AS1	1045	49
RRM1	14100	645
RRH	12	11
RREB1	1387	302
RRBP1	9835	1387
RRAS2P1	85	7
RRAS2	2697	313
RRAS	731	80
RRAGD	997	39
RRAGC-DT	12	24
RRAGC	2208	645
RRAGB	449	281
RRAGA	3121	7926
RRAD	102	212
RPUSD4	1185	399
RPUSD3	944	205
RPUSD2	375	145
RPUSD1	494	40
RPTOR	2764	345
RPSAP9	36	199
RPSAP8	10	3
RPSAP70	35	0
RPSAP58	1135	76
RPSAP54	32	0
RPSAP52	5	14
RPSAP47	282	28
RPSAP46	0	12
RPSAP41	37	4
RPSAP26	18	8
RPSAP19	285	25
RPSAP18	15	54
RPSAP17	14	0
RPSAP15	1169	60
RPSAP12	76	2
RPSA	39502	4130
RPS9	9664	14552
RPS8	18083	5498
RPS7P3	7	17
RPS7P11	1271	238
RPS7P10	128	25
RPS7P1	2894	632
RPS7	20730	7472
RPS6P25	4	22
RPS6KL1	37	166
RPS6KC1	1576	1654
RPS6KB2-AS1	419	357
RPS6KB2	1362	1415
RPS6KB1	4936	784
RPS6KA6	741	135
RPS6KA5	508	122
RPS6KA4	1582	150
RPS6KA3	10938	3291
RPS6KA2	14	8
RPS6KA1	943	71
RPS6	50739	4998
RPS5	14364	2368
RPS4Y1	2092	482
RPS4XP17	12	12
RPS4XP16	16	121
RPS4X	36023	5372
RPS3AP6	244	8
RPS3AP54	1	22
RPS3AP51	0	20
RPS3AP5	12	2
RPS3AP47	24	8
RPS3AP46	5	11
RPS3AP38	10	10
RPS3AP26	392	20
RPS3AP21	50	0
RPS3AP2	8	35
RPS3A	32999	3733
RPS3	24383	1914
RPS2P55	12	17
RPS2P5	2629	1039
RPS2P46	2353	805
RPS2P32	21	64
RPS2P17	5	15
RPS29P16	0	31
RPS29	3368	2906
RPS28P7	719	463
RPS28	595	2472
RPS27L	6723	12904
RPS27AP5	73	6
RPS27AP16	570	125
RPS27A	22815	7664
RPS27	5825	1802
RPS26P19	553	250
RPS26P15	12	0
RPS26	8396	2999
RPS25	9531	3082
RPS24P8	26	6
RPS24P19	25	1
RPS24	31914	10298
RPS23P8	43	2
RPS23	21861	2880
RPS21P1	10	17
RPS21	2331	903
RPS20P22	86	61
RPS20P21	86	16
RPS20P14	136	14
RPS20	15268	4642
RPS2	47453	20597
RPS19P3	6	26
RPS19P1	0	30
RPS19BP1	1288	673
RPS19	19416	8636
RPS18P9	172	139
RPS18P12	16	3
RPS18	12688	6888
RPS17	21903	9768
RPS16	22515	19407
RPS15P4	142	52
RPS15AP36	1	21
RPS15AP1	10	6
RPS15A	10730	3393
RPS15	6042	2402
RPS14	22517	6136
RPS13P2	147	30
RPS13	10757	4324
RPS12P3	20	34
RPS12P28	8	80
RPS12P2	1	31
RPS12	8051	2287
RPS11P5	25	22
RPS11	19740	16078
RPS10P7	106	24
RPS10P5	20	15
RPS10-NUDT3	8956	1094
RPS10	7191	1740
RPRM	0	19
RPRD2	3217	448
RPRD1B	2620	774
RPRD1A	4847	959
RPPH1	1	1158
RPP40	1159	86
RPP38-DT	12	668
RPP38	1085	1102
RPP30	2197	444
RPP25L	318	268
RPP25	932	219
RPP21	232	229
RPP14	1781	446
RPN2	10227	1232
RPN1	9568	562
RPLP2	5809	2803
RPLP1P6	19	15
RPLP1P11	16	9
RPLP1	17922	10430
RPLP0P9	305	122
RPLP0P6	2538	679
RPLP0P3	0	2330
RPLP0P2	12	39
RPLP0P1	0	10
RPLP0	53018	27890
RPL9P7	157	19
RPL9P29	8	77
RPL9	8585	1953
RPL8	30102	12941
RPL7P9	4454	313
RPL7P57	10	6
RPL7P50	0	94
RPL7P42	4	14
RPL7P23	96	9
RPL7P19	2	315
RPL7P1	3904	310
RPL7L1	8789	2982
RPL7AP75	165	78
RPL7AP70	79	22
RPL7AP66	47	2
RPL7AP63	5	39
RPL7AP62	40	6
RPL7AP60	1	13
RPL7AP6	981	198
RPL7AP54	13	10
RPL7AP53	4	179
RPL7AP45	98	4
RPL7AP43	11	31
RPL7AP39	57	51
RPL7AP33	0	15
RPL7AP30	26	8
RPL7AP20	0	18
RPL7A	34233	9051
RPL7	38744	4870
RPL6P27	1230	285
RPL6P24	33	1
RPL6P19	134	32
RPL6P16	0	10
RPL6P10	412	69
RPL6	38627	12266
RPL5P4	189	48
RPL5P34	414	113
RPL5P31	0	130
RPL5P24	0	12
RPL5P23	44	10
RPL5P1	18	6
RPL5	19687	6734
RPL4P6	14	16
RPL4P5	273	19
RPL4P4	379	46
RPL41P5	77	11
RPL41P2	24	5
RPL41P1	68	8
RPL41	24891	7303
RPL4	77236	11282
RPL3P4	862	181
RPL3P2	29	78
RPL3L	0	202
RPL39P5	500	685
RPL39P36	16	12
RPL39P3	333	31
RPL39P16	22	1
RPL39P14	1	19
RPL39P	0	10
RPL39L	475	33
RPL39	11552	1527
RPL38	6934	2787
RPL37P6	12	0
RPL37P2	10	0
RPL37AP1	86	19
RPL37A-DT	26	11
RPL37A	15944	4410
RPL37	11913	14580
RPL36AP54	18	13
RPL36AP43	14	42
RPL36AP41	0	10
RPL36AL	5078	1583
RPL36A-HNRNPH2	6038	2768
RPL36A	5282	4602
RPL36	1800	615
RPL35P2	12	3
RPL35P1	18	10
RPL35AP20	2	25
RPL35A	6153	1624
RPL35	8024	2826
RPL34P18	38	6
RPL34	3387	690
RPL32P3	399	411
RPL32P29	19	98
RPL32P27	4	11
RPL32P24	169	97
RPL32P2	0	40
RPL32P18	23	3
RPL32	13768	2726
RPL31P52	8	18
RPL31P46	32	75
RPL31P30	2	14
RPL31P17	0	21
RPL31P15	4	10
RPL31	9804	4499
RPL30-AS1	6128	3113
RPL30	8409	4986
RPL3	32845	7971
RPL29P14	0	11
RPL29	12410	1585
RPL28P2	16	10
RPL28	9737	7664
RPL27A	17583	3478
RPL27	12111	1562
RPL26P6	8	10
RPL26P30	22	23
RPL26P19	293	56
RPL26L1-AS1	131	867
RPL26L1	1402	640
RPL26	21113	3622
RPL24P8	130	60
RPL24P4	517	197
RPL24P2	21	8
RPL24	10694	6727
RPL23P2	0	82
RPL23AP91	0	16
RPL23AP82	538	135
RPL23AP74	16	2
RPL23AP7	256	67
RPL23AP65	11	0
RPL23AP64	26	18
RPL23AP53	102	41
RPL23AP42	1006	84
RPL23AP24	11	0
RPL23AP2	25	4
RPL23AP15	0	32
RPL23AP1	10	349
RPL23A	32621	5340
RPL23	19516	6766
RPL22P24	20	6
RPL22P2	14	3
RPL22P12	10	6
RPL22P1	458	74
RPL22L1	3021	3195
RPL22	10581	2363
RPL21P75	154	23
RPL21P5	10	0
RPL21P39	12	2
RPL21P37	2	83
RPL21P34	0	10
RPL21P3	6	17
RPL21P28	44	8
RPL21P2	0	19
RPL21P16	628	86
RPL21P12	0	143
RPL21P119	10	0
RPL21P116	0	12
RPL21	12520	2673
RPL19	31111	16707
RPL18AP3	1070	306
RPL18A	9810	3887
RPL18	14267	7120
RPL17P50	12	4
RPL17P10	0	13
RPL17-C18orf32	14548	3678
RPL17	13291	4260
RPL15P4	0	10
RPL15P3	809	170
RPL15P2	16	5
RPL15P18	10	2
RPL15	30786	16820
RPL14P3	25	3
RPL14P1	273	16
RPL14	12224	2691
RPL13P5	467	103
RPL13P12	355	88
RPL13P	0	42
RPL13AP7	33	18
RPL13AP5	2195	995
RPL13AP25	197	115
RPL13AP20	69	303
RPL13A	50892	31395
RPL13	14469	4359
RPL12P41	0	25
RPL12P4	76	44
RPL12P38	5	11
RPL12P35	2	47
RPL12P28	118	15
RPL12P16	264	163
RPL12P14	134	159
RPL12	17483	17789
RPL11P3	0	10
RPL11	12132	1367
RPL10P9	285	68
RPL10P16	2927	634
RPL10AP6	85	16
RPL10A	11179	4465
RPL10	34612	11863
RPIA	1064	126
RPH3AL-AS2	17	79
RPH3AL-AS1	10	8
RPH3AL	337	123
RPH3A	32	17
RPGRIP1L	1904	363
RPGRIP1	102	152
RPGR	1166	236
RPF2P1	18	13
RPF2	2815	509
RPF1	2169	912
RPEL1	19	22
RPE	5446	412
RPAP3-DT	14	72
RPAP3	5012	417
RPAP2	2461	313
RPAP1	550	185
RPAIN	3202	2567
RPA3	1346	539
RPA2	2770	170
RPA1	9148	351
RP9P	335	25
RP9	875	578
RP2	1781	2855
RP1L1	6	28
ROS1	85	88
RORB-AS1	0	22
RORB	4	244
RORA-AS1	33	10
RORA	68	71
ROR2	52	2
ROR1	2220	95
ROPN1L-AS1	0	15
ROPN1L	15	13
ROPN1B	0	17
ROMO1	579	83
ROM1	54	23
ROGDI	163	96
ROCR	7	16
ROCK2	15998	845
ROCK1P1	58	21
ROCK1	6755	428
ROBO3	49	58
ROBO1	1522	321
RO60	5231	2859
RNY4P10	9	34
RNY3P8	15	5
RNY3P15	98	25
RNY1P6	6	15
RNY1	0	14
RNVU1-8	0	25
RNVU1-7	0	162
RNVU1-6	2	788
RNVU1-4	0	381
RNVU1-34	0	88
RNVU1-32	34	16
RNVU1-31	0	209
RNVU1-30	6	840
RNVU1-3	0	150
RNVU1-2A	0	70
RNVU1-29	0	115
RNVU1-27	3	114
RNVU1-26	0	889
RNVU1-25	0	366
RNVU1-22	0	94
RNVU1-21	0	44
RNVU1-2	0	24
RNVU1-18	0	13
RNVU1-15	4	78
RNVU1-14	1	191
RNU7-47P	10	0
RNU7-45P	2	21
RNU7-111P	183	4
RNU7-1	38	541
RNU6ATAC4P	0	10
RNU6ATAC3P	0	30
RNU6-925P	3	10
RNU6-915P	0	16
RNU6-914P	29	2
RNU6-8	14	58
RNU6-781P	0	199
RNU6-767P	17	3
RNU6-762P	8	26
RNU6-703P	3	39
RNU6-7	0	11
RNU6-583P	20	4
RNU6-531P	12	8
RNU6-48P	4	18
RNU6-415P	13	4
RNU6-398P	46	79
RNU6-395P	87	50
RNU6-322P	5	30
RNU6-312P	11	10
RNU6-30P	1	22
RNU6-307P	0	10
RNU6-26P	71	30
RNU6-247P	9	36
RNU6-244P	28	10
RNU6-216P	14	4
RNU6-2	2	17
RNU6-146P	49	2
RNU6-1330P	108	37
RNU6-1263P	13	7
RNU6-1251P	0	15
RNU6-1240P	11	5
RNU6-1141P	0	23
RNU6-112P	0	40
RNU6-107P	0	10
RNU6-1069P	0	56
RNU6-105P	16	18
RNU6-1048P	12	17
RNU6-1016P	12	4
RNU5F-1	0	16
RNU5E-6P	0	117
RNU5E-4P	0	53
RNU5E-10P	0	12
RNU5E-1	4	56
RNU5D-1	0	183
RNU5B-1	0	51
RNU5A-8P	0	22
RNU5A-1	0	573
RNU4ATAC18P	5	22
RNU4ATAC	0	276
RNU4-89P	3	24
RNU4-5P	221	23
RNU4-46P	33	17
RNU4-39P	3	18
RNU4-25P	156	69
RNU4-2	0	87
RNU4-1	0	92
RNU2-63P	0	137
RNU2-33P	0	15
RNU2-2P	0	166
RNU2-27P	14	0
RNU2-17P	0	79
RNU12	2	78
RNU11	5	139
RNU1-39P	22	24
RNU1-28P	0	26
RNU1-27P	0	45
RNU1-2	0	30
RNU1-125P	4	40
RNU1-11P	0	89
RNU1-103P	10	4
RNPS1P1	18	3
RNPS1	8072	4850
RNPEPL1	981	96
RNPEP	3878	235
RNPC3	769	3843
RNMT	2889	2807
RNLS	413	168
RNH1	2915	1041
RNGTT	2521	151
RNFT2	242	20
RNFT1-DT	33	25
RNFT1	796	180
RNF8	1236	89
RNF7	2609	535
RNF6P1	0	22
RNF6	4617	4477
RNF5	933	65
RNF44	888	539
RNF43	1215	118
RNF41	1482	383
RNF40	4161	2220
RNF4	4324	401
RNF39	146	530
RNF38	1314	473
RNF34	2666	618
RNF32-DT	164	363
RNF32-AS1	133	40
RNF32	223	76
RNF31	878	485
RNF2P1	71	87
RNF26	1043	1131
RNF25	692	1349
RNF24	1380	1680
RNF227	239	214
RNF225	0	294
RNF223	3	118
RNF222	2	42
RNF220	1320	697
RNF217-AS1	44	31
RNF217	1366	329
RNF216P1	799	170
RNF216	3052	1936
RNF215	447	391
RNF214	947	205
RNF213-AS1	1305	375
RNF213	21463	6100
RNF212B	6	40
RNF212	124	11
RNF207-AS1	5	14
RNF207	612	763
RNF20	4415	366
RNF2	1386	215
RNF19B	951	383
RNF19A	6698	1367
RNF187	3034	653
RNF185-AS1	289	86
RNF185	1515	409
RNF182	430	38
RNF181	704	861
RNF180	44	11
RNF170	1842	203
RNF169	2407	219
RNF168	1392	225
RNF167	3721	1494
RNF166	462	380
RNF165	30	15
RNF157-AS1	439	26
RNF157	909	43
RNF152	6	21
RNF151	4	35
RNF150	57	0
RNF14P3	2	20
RNF149	2443	1566
RNF146	882	764
RNF145	6867	2157
RNF144B	139	61
RNF144A	1214	55
RNF141	2935	760
RNF14	3709	682
RNF139-DT	82	1850
RNF139	2547	1603
RNF138P1	1	38
RNF138	1932	572
RNF135	1313	117
RNF130	2023	111
RNF13	3554	276
RNF128	82	43
RNF126	733	138
RNF125	88	4
RNF123	850	387
RNF122	60	84
RNF121	1714	105
RNF115	3465	538
RNF114	3729	2574
RNF113A	548	2272
RNF111	3774	939
RNF11	2499	453
RNF103-CHMP3	3556	239
RNF103	2886	2584
RNF10	5096	1929
RND3	4552	10187
RND2	10	39
RND1	354	18213
RNASET2	384	38
RNASEL	486	106
RNASEK-C17orf49	2753	2751
RNASEK	1849	2190
RNASEH2C	1730	1869
RNASEH2B-AS1	13	18
RNASEH2B	1748	302
RNASEH2A	1052	87
RNASEH1-DT	765	223
RNASEH1	7726	5349
RNASE9	0	67
RNASE4	315	204
RNASE11	0	19
RNASE10	0	901
RNA5SP67	0	11
RNA5SP443	0	16
RNA5SP442	0	14
RNA5SP392	27	7
RNA5SP383	0	36
RNA5SP382	2	21
RNA5SP38	0	10
RNA5SP352	72	21
RNA5SP323	32	24
RNA5SP308	0	10
RNA5SP244	76	13
RNA5SP236	4	37
RNA5SP216	137	17
RNA5SP195	1	10
RNA5SP18	15	58
RNA5-8SN3	0	81
RNA5-8SN1	0	40
RN7SL834P	5	12
RN7SL832P	21	461
RN7SL825P	0	10
RN7SL81P	16	8
RN7SL799P	0	14
RN7SL751P	0	16
RN7SL737P	24	6
RN7SL731P	56	3
RN7SL689P	11	12
RN7SL657P	29	40
RN7SL608P	27	18
RN7SL600P	0	105
RN7SL573P	17	27
RN7SL521P	0	24
RN7SL49P	0	19
RN7SL481P	13	0
RN7SL473P	1	151
RN7SL472P	2	15
RN7SL431P	9	10
RN7SL381P	6	17
RN7SL368P	1	237
RN7SL354P	0	17
RN7SL346P	0	11
RN7SL336P	0	128
RN7SL333P	22	7
RN7SL314P	12	0
RN7SL3	4	34
RN7SL2	52	245
RN7SL15P	4	51
RN7SL146P	0	10
RN7SL130P	16	0
RN7SL1	59	314
RN7SKP97	31	7
RN7SKP74	10	1
RN7SKP70	38	108
RN7SKP54	0	84
RN7SKP285	0	20
RN7SKP241	49	0
RN7SKP239	27	21
RN7SKP23	95	7
RN7SKP192	0	10
RN7SKP176	6	22
RN7SKP175	27	61
RN7SKP16	27	26
RN7SKP150	2	33
RN7SKP116	4	52
RN7SKP114	0	13
RN7SK	0	146
RMRP	0	30
RMND5B	3695	690
RMND5A	2617	831
RMND1	687	387
RMI2	1633	201
RMI1	3213	472
RMDN3	1294	255
RMDN2-AS1	1	159
RMDN2	433	275
RMDN1	1761	271
RMC1	1442	803
RLN2	18	10
RLIMP2	55	55
RLIM	6563	2272
RLF	1485	684
RITA1	913	125
RIT1	1554	1239
RIPPLY3	19	6
RIPPLY2	12	34
RIPOR3-AS1	1	11
RIPOR3	2	35
RIPOR2	0	84
RIPOR1	1389	140
RIPK4	415	397
RIPK2-DT	379	1060
RIPK2	2383	2035
RIPK1	1814	2204
RIOX2	4719	439
RIOX1	798	193
RIOK3	3116	3544
RIOK2	2651	2918
RIOK1	1283	472
RINT1	2702	902
RINL	128	341
RING1	438	340
RIN3	1001	63
RIN2	2136	400
RIN1	360	211
RIMS4	52	24
RIMS3	152	6
RIMOC1	4481	3495
RIMKLBP2	14	2
RIMKLB	1734	1134
RIMKLA	344	14
RIMBP3	51	0
RIMBP2	2	10
RILPL2	352	91
RILPL1	475	111
RILP	123	51
RIF1	11396	1558
RIDA	1067	254
RICTOR	4300	3343
RIC8B	1754	553
RIC8A	3383	549
RIC3	253	116
RIC1	2839	491
RIBC2	267	57
RIBC1	53	32
RHPN2	6760	1339
RHPN1-AS1	26	11
RHPN1	149	114
RHOXF1P3	196	35
RHOXF1P1	0	13
RHOXF1-AS1	1	395
RHOV	138	168
RHOU	354	233
RHOT2	1295	1936
RHOT1P3	20	0
RHOT1P1	39	7
RHOT1	3293	275
RHOQP3	34	4
RHOQP2	20	2
RHOQP1	48	92
RHOQ-AS1	20	39
RHOQ	6558	1163
RHOH	0	15
RHOG2P	2	29
RHOG	984	255
RHOF	2625	1869
RHOD	201	19
RHOC	4613	740
RHOBTB3	2580	296
RHOBTB2	3029	3867
RHOBTB1	1487	195
RHOB	5425	37382
RHOA	24837	1777
RHO	0	19
RHNO1	2222	221
RHEBP2	638	315
RHEBP1	206	203
RHEBL1	40	3211
RHEB	4330	542
RHCG	212	1266
RHCE	89	46
RHBDL3	169	70
RHBDL2	79	28
RHBDL1	8	74
RHBDF2	1006	51
RHBDF1	416	226
RHBDD3	474	380
RHBDD2	1392	320
RHBDD1	1092	79
RHAG	2	100
RGS9BP	16	35
RGS9	391	53
RGS7	16	16
RGS5	64	128
RGS3	1501	286
RGS22	12	4
RGS20	1347	918
RGS2	1376	3871
RGS19	227	8
RGS18	0	10
RGS17P1	8	23
RGS17	1527	958
RGS16	21	492
RGS14	71	69
RGS12	675	30
RGS11	72	227
RGS10	603	22
RGPD8	367	51
RGPD6	8	20
RGPD5	81	36
RGPD4	28	0
RGPD3	60	8
RGPD2	11	2
RGPD1	17	10
RGP1	2846	761
RGMB-AS1	21	389
RGMB	989	3607
RGMA	7	591
RGL4	134	36
RGL3	20	30
RGL2	308	3585
RGL1	376	24
RGCC	8	21
RFXAP	179	22
RFXANK	635	259
RFX7	4417	818
RFX5-AS1	20	23
RFX5	2053	3969
RFX3-DT	22	180
RFX3	451	422
RFX2	202	58
RFX1	163	309
RFWD3	8428	2323
RFTN2	23	656
RFTN1	148	11
RFT1	1415	174
RFPL4B	0	52
RFPL4AP6	0	27
RFPL4AP1	0	122
RFPL4AL1	0	275
RFPL4A	0	999
RFPL3S	27	196
RFPL3	7	100
RFPL2	3	66
RFPL1S	18	141
RFPL1	4	32
RFNG	301	110
RFLNB	2374	290
RFLNA	118	21
RFK	4613	2895
RFFL	3889	1583
RFESD	106	23
RFC5	5053	805
RFC4	2340	819
RFC3	7039	489
RFC2	3210	808
RFC1	4268	366
REXO5	588	440
REXO4	2166	214
REXO2	1790	234
REXO1	783	664
REX1BD	199	215
REV3L	2974	1444
REV1	2350	614
RETSAT	2638	2662
RETREG3	2264	642
RETREG2	1738	307
RETREG1-AS1	457	56
RETREG1	366	348
RET	36	55
REST	2816	403
RESF1	3058	1229
RERG	363	34
RERE-AS1	0	10
RERE	1606	256
RER1	4883	2174
REPS2	108	12
REPS1	1703	136
REPIN1-AS1	273	240
REPIN1	3054	2935
REP15	34	4
RENO1	60	527
RENBP	0	23
REM2	2	171
RELT	467	428
RELN	0	103
RELL2	221	175
RELL1	481	130
RELCH	2438	468
RELB	344	1016
RELA-DT	93	127
RELA	2064	1493
REL-DT	2	11
REL	1943	1668
REEP6	83	0
REEP5	10368	718
REEP4	954	429
REEP3	7201	475
REEP2	172	77
REEP1	94	26
RECQL5	869	585
RECQL4	1154	1325
RECQL	8269	1998
RECK	652	84
REC8	100	1763
RDX	15506	696
RDM1	153	363
RDH5	155	349
RDH14	1649	434
RDH13	888	486
RDH12	14	7
RDH11	6269	930
RDH10-AS1	24	63
RDH10	2483	1019
RCSD1	0	34
RCOR3	1575	333
RCOR2	33	32
RCOR1	3718	1370
RCN3	26	15
RCN2	8355	850
RCN1P2	218	74
RCN1	19626	2336
RCL1	1727	244
RCHY1	1080	759
RCE1	510	330
RCCD1-AS1	335	145
RCCD1	1315	358
RCC2P6	7	10
RCC2-AS1	737	107
RCC2	6603	725
RCC1L	2928	268
RCC1	4573	12981
RCBTB2	121	116
RCBTB1	1988	218
RCAN3AS	76	2
RCAN3	1469	93
RCAN2	2	17
RCAN1	893	11083
RC3H2	6117	2408
RC3H1-DT	0	69
RC3H1	2615	866
RBX1	1234	487
RBSN	2523	711
RBPMS2	147	2
RBPMS-AS1	222	70
RBPMS	2146	518
RBPJL	0	52
RBPJ	2975	355
RBP5	267	97
RBP4	666	33
RBP3	8	35
RBMXP2	72	6
RBMXL1	730	2541
RBMX2	1409	358
RBMX	19134	5755
RBMS3-AS3	9	63
RBMS3	163	105
RBMS2	3688	1553
RBMS1P1	68	21
RBMS1	4595	1569
RBM8B	17	13
RBM8A	8078	7362
RBM7	1673	798
RBM6	2793	739
RBM5-AS1	348	204
RBM5	2829	2709
RBM4B	737	1981
RBM48	625	2898
RBM47	5505	490
RBM45	810	472
RBM43	826	970
RBM42	3159	2275
RBM41	2468	463
RBM4	3263	3155
RBM39	14372	29215
RBM38-AS1	88	289
RBM38	677	332
RBM34	3426	748
RBM33-DT	219	990
RBM33	3055	1602
RBM3	26414	13413
RBM28	4468	580
RBM27	5388	1093
RBM26-AS1	33	665
RBM26	5084	1157
RBM25-AS1	148	303
RBM25	14925	10486
RBM24	1025	2519
RBM23	3391	1910
RBM22P2	0	12
RBM22	3373	2121
RBM20	449	45
RBM19	1819	406
RBM18	2160	592
RBM17	5331	2273
RBM15B	2448	2901
RBM15-AS1	20	20
RBM15	1030	1134
RBM14-RBM4	3319	1887
RBM14	3239	1252
RBM12B-AS1	117	115
RBM12B	4671	2338
RBM12	8761	2211
RBM11	2	12
RBM10	2069	1725
RBL2	3073	572
RBL1	5273	197
RBKS	295	951
RBIS	2048	2001
RBFOX3	202	158
RBFOX2	5415	5742
RBFADN	39	26
RBFA	1166	95
RBCK1	2420	1407
RBBP9	4189	444
RBBP8	4464	218
RBBP7	12865	1760
RBBP6	6693	18989
RBBP5	2898	540
RBBP4P2	11	6
RBBP4P1	197	34
RBBP4	10234	2309
RBAKDN	4	38
RBAK-RBAKDN	275	183
RBAK	2264	2316
RB1CC1	3903	839
RB1-DT	1	13
RB1	4239	320
RAVER2	1279	115
RAVER1	1513	783
RASSF9	276	305
RASSF8-AS1	162	99
RASSF8	1750	137
RASSF7	409	90
RASSF6	909	157
RASSF5	192	183
RASSF4	54	46
RASSF3	3320	170
RASSF2	2937	94
RASSF10	222	130
RASSF1	492	1018
RASL12	1	22
RASL11B	4	113
RASL11A	43	510
RASL10B	0	10
